run,clock_time,concentration,note
20260814-115747,11:57:47,,aborted/short
20260814-121746,12:17:46,600,
20260814-122641,12:26:41,100,
20260814-130041,13:00:41,50,
20260814-130756,13:07:56,20,
20260814-132030,13:20:30,200,
20260814-132959,13:29:59,,repeat (not in calibration set)
20260814-134258,13:42:58,40,
20260814-140953,14:09:53,400,
20260814-141804,14:18:04,500,
20260814-142626,14:26:26,75,
20260814-143844,14:38:44,300,
20260814-145525,14:55:25,75,
20260814-150328,15:03:28,100,
20260814-151251,15:12:51,200,
20260814-152347,15:23:47,,aborted/short
20260814-152802,15:28:02,,repeat (not in calibration set)
20260814-153024,15:30:24,,aborted/short
20260814-153037,15:30:37,,aborted/short
20260814-153112,15:31:12,,repeat (not in calibration set)
20260814-153928,15:39:28,150,
20260814-154725,15:47:25,75,
